,Latitude,Longitude,temperature
678,50.26636,4.43433,2.26
679,49.92321,5.363384,2.59
680,50.0083,5.729492,2.04
681,50.01018,5.711549,2.14
682,50.02112,5.336241,2.53
683,50.03455,4.325799,2
684,50.03937,4.373312,2
685,50.06598,4.34507,2
686,50.07257,4.614702,2
687,50.09043,4.537128,2
688,50.09745,5.118541,2.34
689,50.12449,4.996248,2.35
690,50.13097,5.16858,2.34
691,50.13082,5.76947,2.28
692,50.15207,5.199365,2.34
693,50.17329,4.52752,2.26
694,50.1747,4.404706,2.26
695,50.1831,5.562608,2
696,50.19231,4.541969,2.26
697,50.20885,4.849429,2.51
698,50.22142,5.265355,2.2
699,50.23873,4.216687,2.26
700,50.41586,3.747247,2
701,50.41822,4.319234,2.61
702,50.42102,4.847776,3.01
703,50.42285,4.56656,2.67
704,50.41263,5.99456,3.38
705,50.4244,4.267137,2.61
706,50.43158,3.981795,2.51
707,50.42028,6.102171,3.38
708,50.43601,4.391994,2.61
709,50.43687,3.732681,2
710,50.43283,5.536093,3.02
711,50.4375,3.780225,2
712,50.44095,4.916054,3.01
713,50.44341,4.783681,2.86
714,50.443,3.685061,2
715,50.44624,4.132049,2.61
716,50.44887,4.703365,2.86
717,50.43525,6.202353,3.17
718,50.45174,4.35542,2.61
719,50.40248,4.687769,2.67
720,50.40339,4.45557,2.61
721,50.40361,4.387648,2.61
722,50.41363,3.921681,2.41
723,50.41404,3.673341,2
724,50.41593,4.918444,3.01
725,50.29452,5.903351,2.02
726,50.30964,5.084146,2.5
727,50.31322,4.147846,2.26
728,50.31545,4.432728,2.61
729,50.32157,4.360901,2.61
730,50.33163,4.638472,2.68
731,50.34114,4.399331,2.61
732,50.34558,4.292922,2.61
733,50.34475,4.857422,2.81
734,50.35834,4.462589,2.61
735,50.36449,4.284154,2.61
736,50.36682,4.356572,2.61
737,50.37265,4.281905,2.61
738,50.37359,4.682335,2.68
739,50.37735,3.740545,2
740,50.38448,4.582026,2.68
741,50.38594,4.066228,2.61
742,50.38424,5.529422,2.62
743,50.39205,3.690172,2
744,50.38811,5.929347,3.31
745,50.39762,4.879069,3.01
746,50.45094,3.839508,2.41
747,50.45255,4.405163,2.61
748,50.45109,5.15902,3.15
749,50.45547,4.545178,2.67
750,50.45583,4.226342,2.61
751,50.45583,4.172637,2.61
752,50.46283,4.611303,2.86
753,50.54921,3.431887,2
754,50.55521,3.735696,2.51
755,50.55238,5.487596,3.29
756,50.55762,4.174857,2.61
757,50.55397,5.45726,3.13
758,50.55558,3.347688,2
759,50.55981,5.604487,3.15
760,50.56773,4.497503,2.86
761,50.56656,4.925541,3
762,50.46351,4.698515,2.86
763,50.46536,4.084216,2.61
764,50.46661,4.041614,2.5
765,50.46934,4.416245,2.61
766,50.4679,5.096664,3
767,50.4718,4.295733,2.61
768,50.47049,3.648036,2
769,50.47216,4.005179,2.5
770,50.47262,4.557185,2.67
771,50.47338,4.702715,2.86
772,50.47471,4.631526,2.86
773,50.47549,3.832525,2.41
774,50.48042,4.59557,2.86
775,50.48009,4.954823,3.01
776,50.4768,5.588448,3.01
777,50.47614,5.658472,3.01
778,50.48887,4.547503,2.86
779,50.48648,5.257213,2.57
780,50.48974,4.827305,3.01
781,50.49186,4.387897,2.61
782,50.49396,4.107863,2.61
783,50.49281,3.65183,2
784,50.4981,4.294385,2.61
